timestamp,elapsed_ms,acc_x,acc_y,acc_z,acc_magnitude,gyro_x,gyro_y,gyro_z,gyro_magnitude
1756078093059,5885,-4.171896,-8.544906,2.061408,9.729827,-0.273906,0.164051,-0.055261,0.324023
1756078093094,5920,-4.171896,-8.544906,2.061408,9.729827,-0.036752,0.032624,-0.009854,0.050121
1756078093098,5924,-3.709816,-9.680356,3.260903,10.867636,-0.036752,0.032624,-0.009854,0.050121
1756078093222,6048,-4.392762,-9.643845,2.265513,10.836635,-0.036752,0.032624,-0.009854,0.050121
1756078093233,6059,-4.392762,-9.643845,2.265513,10.836635,0.316783,0.362323,-0.075634,0.487185
1756078093285,6111,-5.140950,-8.559271,3.236362,10.495929,0.316783,0.362323,-0.075634,0.487185
1756078093297,6123,-5.140950,-8.559271,3.236362,10.495929,0.684965,-0.030893,-0.026365,0.686168
1756078093345,6171,-4.529830,-12.148179,3.542221,13.440421,0.684965,-0.030893,-0.026365,0.686168
1756078093354,6180,-4.529830,-12.148179,3.542221,13.440421,1.759682,-0.897751,0.320511,2.001291
1756078093401,6227,-4.529830,-12.148179,3.542221,13.440421,2.589390,-2.748913,0.494815,3.808714
1756078093413,6239,-5.331887,-13.089101,10.903194,17.850300,2.589390,-2.748913,0.494815,3.808714
1756078093464,6290,-1.851316,-12.196662,3.721786,12.885559,2.589390,-2.748913,0.494815,3.808714
1756078093476,6302,-1.851316,-12.196662,3.721786,12.885559,4.712327,-2.771949,0.462724,5.486697
1756078093521,6347,-1.851316,-12.196662,3.721786,12.885559,2.869554,-1.413072,0.161787,3.202700
1756078093532,6358,-3.545813,-7.803302,9.625888,12.888833,2.869554,-1.413072,0.161787,3.202700
1756078093604,6430,-0.038307,-4.783615,3.869030,6.152547,2.869554,-1.413072,0.161787,3.202700
1756078093615,6441,-0.038307,-4.783615,3.869030,6.152547,2.798448,-1.517734,1.088566,3.364491
1756078093665,6491,-0.038307,-4.783615,3.869030,6.152547,2.005758,-0.633832,0.264984,2.120148
1756078093676,6502,3.423110,-1.152210,2.748544,4.538696,2.005758,-0.633832,0.264984,2.120148
1756078093722,6548,3.423110,-1.152210,2.748544,4.538696,-0.707069,0.186821,-0.157393,0.748078
1756078093731,6557,0.732027,0.165200,-0.996586,1.247533,-0.707069,0.186821,-0.157393,0.748078
1756078093787,6613,0.732027,0.165200,-0.996586,1.247533,-2.014014,1.117328,-0.509596,2.358890
1756078093803,6629,1.926135,-1.628057,3.183091,4.061113,-2.014014,1.117328,-0.509596,2.358890
1756078093845,6671,1.926135,-1.628057,3.183091,4.061113,-2.669950,1.542901,-0.822250,3.191438
1756078093859,6685,-0.700304,-3.743933,5.737106,6.886352,-2.669950,1.542901,-0.822250,3.191438
1756078093904,6730,-0.700304,-3.743933,5.737106,6.886352,-3.373956,2.588591,-0.990029,4.366296
1756078093913,6739,-2.786252,-8.844181,5.197213,10.629852,-3.373956,2.588591,-0.990029,4.366296
1756078093963,6789,-2.786252,-8.844181,5.197213,10.629852,-4.041610,2.340118,-0.980309,4.771978
1756078093974,6800,-4.826112,-12.956821,7.141904,15.562050,-4.041610,2.340118,-0.980309,4.771978
1756078094055,6881,-5.894525,-14.705187,4.739921,16.536469,-4.041610,2.340118,-0.980309,4.771978
1756078094067,6893,-5.894525,-14.705187,4.739921,16.536469,-3.198720,1.595099,-0.206395,3.580328
